سعر,شركة,موديل,سنة,لون السيارة,نوع الوقود,أصل السيارة,رخصة السيارة,نوع الجير,الزجاج,قوة الماتور,عداد السيارة,عدد الركاب,وسيلة الدفع,معروضة,أصحاب سابقون,إضافات
69000,سيت,ليون,2015,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,٣٢٠٠٠ ,٤+١ ,إمكانية التقسيط ,للبيع أو التبديل ,٠ ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|سيارة جديدة ماشية ٣٢٠٠٠ الف كيلو مش منمرة جير عادي ٦ غيار بترخص ٢٠١٥
680000,سكودا,اوكتافيا,2009,أسود ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900 ,null,null,نقدا فقط ,للبيع فقط ,3 ,إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية
98000,سكودا,اوكتافيا,2014,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,25000 ,4+1 ,نقدا فقط ,للبيع فقط ,2 ,مُكيّف|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|ترخيص تامين شامي الشهر 3 فتحا  بنرما جنط كشفات  شفط مري شبابيك كهرب
86000,فولكسفاجن,كادي,2013,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,null,6+1 ,إمكانية التقسيط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السيارة نخب نخب ما بدها حكي
73000,فولكسفاجن,كادي,2008,أزرق ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1900 ,١٣٠٠٠٠ ,٦+١ ,إمكانية التقسيط ,للبيع أو التبديل ,١ ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|سيارة جديدة ولا ضربة ترخيص وتامين سنة السعر ٧٣ علكاش امكانيه اتقسيط مع اختلاف بسعر سيارة ٤بواب
35000,مرسيدس,412,1996,أبيض عاجي ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,2600 ,null,1+2 ,نقدا فقط ,للبيع أو التبديل ,6 ,null
83000,اودي,A4,2010,زيتي ,بنزين ,خصوصي ,فلسطينية ,نصف اوتوماتيك ,الكتروني ,1800 ,80000 Km ,4+1 ,نقدا فقط ,للبيع أو التبديل ,يد اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|وسادة حماية هوائية|السيارة أصل حكومي|جنط مغنيسيوم شركة|تحكم ستيرنج|مُكيّف|فتحة سقف|إغلاق مركزي|سادة حماية هوائية|مسجل CD|1800 Turbo
80000,شفروليه,ماليبو,2012,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2400 ,98800 ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثالثة ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية
42000,فيات,دوبلو,2009,فضي ,ديزل ,تأجير ,فلسطينية ,عادي ,الكتروني ,1950 ,null,6+1 ,نقدا فقط ,للبيع فقط ,1 ,مُكيّف|إغلاق مركزي|مسجل CD|وسادة حماية هوائية|بودي و ميكانيك  جيد جدا|ترخيص لغاية 11 2018|مجودة في مدينة الخليل فقط.|الاتصال من العاشرة صباحا  لغاية الرابعة مسائا فقط.
107000,كيا,سبورتاج,2015,أبيض عاجي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,60000 ,null,نقدا فقط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|فحص 100%|ترخيص 2015|تامين + ترخيص|شاشه +كميرا|تشغيل  ومفتاح بصمه|حساسات امامي خلفي|كراسي كهربا|تبريد + تدفئة كراسي|نظام الايكو لتوفير الوقود|تثبيت سرعه|aux/usb|بلوتوث
70000,هونداي,اكسنت,2015,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,50000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|مسجل CD|فرش جلد|وسادة حماية هوائية|البيع كاش او تقسيط دفعه + شكات شخصيه بالمعقول ويكون السعر حسب قيمه الدفعه والقسط الشهري السياره مش ناقصها شي 2015 ترخيص 2014 . ممكن التبديل حسب الموجود
42000,فورد,فيستا,2012,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250 ,69 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,يد اولى ,مُكيّف|إغلاق مركزي|مسجل CD|سيارة نضيفة جدا جدا بالكرتوتة 2013 ترخيص 2012 يد اولى ويا دوب ماشية 70 الف انا مشيتهم فيها للاستعمال الشخصي و غرفتها بالكرتونة كأنها هسا نازلة من الشركة و بطارية و كاوشوك كله جديد وميكانيك الف الف والسيارة نضيفة جدا فرش و كراسي بالكرتونة اشي بجنن والعين اكبر برهان .. امكانية قبول جزء من سعرها شكات شخصية
49000,سكودا,اوكتافيا,2006,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,790000 ,4+١ ,إمكانية التقسيط ,للبيع أو التبديل ,رابعة ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|سيارة منفوضة مية مية|تخلو من القص باشكاله وايضا من السحب|مرخصة لنهاية شهر 10
66000,هونداي,اكسنت,2016,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,29000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,مُكيّف|إغلاق مركزي|مسجل CD|فرش جلد|وسادة حماية هوائية
55000,فورد,فوكس,2012,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,null,null,إمكانية التقسيط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السعر  حسب طريقة الدفع
57000,شفروليه,سبارك,2015,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1000 ,27الف كيلو ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,مُكيّف|إغلاق مركزي|مسجل CD|فرش جلد|وسادة حماية هوائية|بدفع 20 الف والباقي شكات السياره ساري الترخيص والتامين
45000,فولكسفاجن,بورا,2002,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600 ,120000 ,4+1 ,نقدا فقط ,للبيع فقط ,يد ثالثه ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية
10000,اوبل,اسكونا,1982,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1350 ,null,4+1 ,نقدا فقط ,للبيع فقط ,null,مسجل CD|جنطات مغنيسيوم
26000,مرسيدس,230,1983,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2300 ,null,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,3 ,إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
75000,فولكسفاجن,باسات,2009,كحلي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,24000 ,null,نقدا فقط ,للبيع فقط ,2 ,مُكيّف|إغلاق مركزي|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|حساسات امامميه وخلفيه تحكم ستيرنك|السياره بحالة ممتازه جدا ترخيص وتامين شامل حتى شهر 9 /2018
68000,هونداي,اكسنت,2016,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,15000 ,4+1 ,إمكانية التقسيط ,للبيع فقط , منمره  ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|فل الفل ما عدا فتحة|الدفع نص بنص|كمرا ليڤرس|ولا غرام بويه|دفايات كراسي|2016 ترخيص 2015|34 كاش والباقي شكات
66000,هونداي,اكسنت,2014,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,50000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية
439999,اودي,Q7,2015,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000 ,125000 ,6+1 ,إمكانية التقسيط ,للبيع أو التبديل ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|فل الفل s line فاخر جداً
44000,اوبل,استرا,2006,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,150000  ,4+1  ,نقدا فقط ,للبيع فقط ,2  ,مُكيّف|إغلاق مركزي|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السياره ما فيها ولا دقة شاكوش|ولا برغي مغيره|والفحص اكبر برهان واذا فيها شي فحصك على حسابي|السياره من جوه جديده والبودي جديد|جنطات الشركه الاصلي|البيع فقط كاش|هاتف 0598153600
44000,فولكسفاجن,بولو,2008,فضي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,10000 ,5+1 ,نقدا فقط ,للبيع فقط ,2 ,مُكيّف|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد
18000,بيجو,404,1970,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1600 ,199000 ,7+1 ,نقدا فقط ,للبيع فقط ,2 ,فرش جلد|جديده كرتونه
20000,دراجة,نارية,2016,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,250 ,5500 ,1+1 ,نقدا فقط ,للبيع فقط ,يد اولى ,السعر نهائي غير قابل للتفاوض  تأمين يوجد لغايه ٩ شهور يد اولى ترخيص لا يوجد بأسمي الشخصي
68000,فورد,فوكس,2014,بني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1600 ,78 الف ,1٠4 ,إمكانية التقسيط ,للبيع أو التبديل ,0مستورد ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|وسادة حماية هوائية|الله يطرح البركه الصاحب النصيب|امكانيه التقسيط أو البدل مع فارق بسيط بسعر
50000,كيا,بيكانتو,2016,بيج ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1000 ,38000 ,5+1 ,نقدا فقط ,للبيع فقط ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|ترخيص 2015|اوتوماتيك|ماتور 1000|حساسات|تحكم ستيرنج|كشافات|مواة كهرباء|تدفئة ستيرنج|تدفئة كراسي|جنط|دهان شركة|تعتيم|عداد اصلي 38000|امكانيه قبول دفعه و شيكات لمدة 7 اشهر مع اختلاف السعر
45000,هونداي,سوناتا,2008,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,5+1 ,نقدا فقط ,للبيع فقط ,null,مُكيّف|مسجل CD|فرش جلد|وسادة حماية هوائية
42000,اوبل,استرا,2005,أزرق سماوي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,95000 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,03 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السيارة جديدة ومش مهيونة|فحص بولتكنيك جديد|صاشي وجير وماتور 100% وعلى الفحص|ترخيص وتأمين سنة كاملة
70000,سكودا,رابيد,2014,كحلي ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,null,null,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|مسجل CD|وسادة حماية هوائية
125000,مرسيدس,416,2006,أبيض ,ديزل ,تجاري ,فلسطينية ,عادي ,الكتروني ,2700 ,500000 ,6+1 ,نقدا فقط ,للبيع فقط ,4 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|416|موديل 2006|ضبل كبينه 6+1|ترخيص وتامين|بودي وشصيات ولا دقه على الفحص 100‎%‎|جير وماطور 100‎%‎|كوشوك جديد|غرفه جديده|الله يبارك لصاحب النصيب|البيع نقداً فقط
85000,هونداي,توسان,2010,فيراني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,null,إمكانية التقسيط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|فل اضفات معدا فتحه|الجيب ممتاز ولنه رائع|دفعه 30 اقل شيئ
39000,سكودا,اوكتافيا,2003,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1999 ,null,٤+١ ,نقدا فقط ,للبيع فقط ,٢ ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|السيارة صلاة النبي فش اشي بعيبها مكنيكيات الف أصل عمومي اسرائيلي دهان الشركة أصحاب سابقون ٢ جنط مغنيسيوم حساسات كاميرا للريفرس مسجل DVD بيونير ترخيص + تامين لشهر ٩ بطارية الها مستعملة ٧ شهور حقها ٧٥٠ الدفع كاش الاتصال للمعنيين لا نقاش بالسعر والله يبارك لصاحب النصيب
43000,هونداي,اكسنت,2009,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,١٤٣ الف ,٤+١ ,نقدا فقط ,للبيع أو التبديل ,٤ ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|٤٣٠٠٠ على كاش
129000,هونداي,توسان,2015,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,42000 ,5+1 ,نقدا فقط ,للبيع أو التبديل ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السياره بحاله افضل من الممتازه
2500,مرسيدس,E220,2000,أسود ,ديزل ,عمومي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,4\١ ,نقدا فقط ,للبيع فقط ,null,مُكيّف|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
36000,كيا,ريو,2008,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1500 ,111111 ,4+1 ,نقدا فقط ,للبيع فقط ,5 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|ماطور مستورد ترخيص فيها فل (12)شهر دهانها 70% لايوجد قص طولي عرضي شصيات ممتازات سعرها على (الكاش)
160000,اودي,A4,2015,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,69000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,0 ,مُكيّف|إغلاق مركزي|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|##Audi_A4 Sline Full options 2015 ##|## بترخص 2014 ##|السيارة الفخمة والمميزة كُلياً ذات #الفئة_الرياضية ،،|✔2000 تيربو بنزين .|✔ 225 حصان 4×4 .|✔ضواو زينون .|✔ شاشة .|✔بصمة|✔فتحة سقف .|✔ تحكم ستيرنج .|✔ ستيرنغ رياضي .|✔ حساسات أمامي + خلفي .|✔ جنطات مغنيسيوم .|✔ فرش جلد مميز .|✔ هاندبريك كهربا .|✔ جنطات مغيسيوم 18 .|✔ اضاءة داخلية .|✔ فتح السيارة وتشغيلها دون مفتاح .|✅ والعديد من الإضافات|## كما يوجد A3 موديل 2015 بترخص 2014 فل الفل اوبشن|بسعر مغري جدا على الكاش|سعر نهائي على الكاش
50000,فورد,فيستا,2014,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1250 ,65000 ,4+1 ,نقدا فقط ,للبيع فقط ,اولى ,null
2200,مازدا,323,1997,سكني ,بنزين ,خصوصي ,نمرة صفراء ,اوتوماتيك ,الكتروني ,1600 ,null,null,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية
54000,اوبل,كورسا,2016,سكني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,49000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,1 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة فل اضافات ما عدا الفتحة -ترخيص 2015 فحص حجاوي موجود بداخلها خالية من القص والدهان والصورة اكبر برهان ع الكاش 54 الف شيكل على الشكات نص بنص 60 الف  وشكات مضمونة من موظف تكون  والله يبارك لصاحب النصيب
41000,فولكسفاجن,جولف,2008,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,0000 ,4+١ ,نقدا فقط ,للبيع فقط ,6 ,مُكيّف|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
40000,اودي,A4,2002,كحلي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,145820 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,يد 2 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السياره ماشاء الله نظيفة لاتحتاج الي صيانة|في امكانية بالسعر بل الشيئ المعقول|الرجاء الاتصال بل المعنيين فقط
40000,فولكسفاجن,بورا,2005,فضي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1900 ,5 ,5+1 ,نقدا فقط ,للبيع فقط ,4 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم
32000,هونداي,اكسنت,2002,أخضر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1500 ,115000 ,4+1 ,نقدا فقط ,للبيع فقط ,ثانية ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية
190000,بي,ام,2013,أبيض ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,null,إمكانية التقسيط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
88000,كيا,سبورتاج,2012,فضي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,75000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,يد ثانية ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
66000,هونداي,اكسنت,2014,فيراني ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,null,null,نقدا فقط ,للبيع فقط ,يد اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|السيارة فل الفل|فرش جلد|دفايات كراسي|تحكم عالستيرنج|مسجل عريض|جنط مغنيسيوم|غمازات عالمري|كشافات
190000,مرسيدس,E200,2014,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,73000 ,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|سيارة رائعة ..فل الفل
13500,رينو,R9,1987,بني ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1400 ,null,null,إمكانية التقسيط ,للبيع أو التبديل ,null,إغلاق مركزي|مسجل CD|فرش جلد
65000,فورد,مونديو,2009,أسود ميتالك ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,116000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,يد ثانية ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية
157000,سانغ,يونغ,2015,بني ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,54000 ,6+1 ,إمكانية التقسيط ,للبيع أو التبديل ,اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|ترخيص وتامين عام|تنزيل شركه|عجال جداد|الجيب بوضع الشركه|امكانية البديل على سياره خصوصي
75000,كاديلاك,2011,2011,سكني ,ديزل ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,100 الف كيلو ,4+1 ,نقدا فقط ,للبيع أو التبديل ,يد اولا ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|كادي بصلاة علا النبي 1+4 سيارو فحص نخب يد اولا ماتور 1600 موديل 2011 للبيع كاش فقط او للبدل
20000,هونداي,اتوس,1999,أحمر ,بنزين ,تأجير ,فلسطينية ,عادي ,يدوي ,1000 ,null,4+1 ,نقدا فقط ,للبيع أو التبديل ,2 ,مُكيّف|مساء الخير السياره يد 2 ترخيص وتأمين 22 / 12 /2018 بودي ممتاز ومطور ممتاز كلشي شغال فيها
72000,مرسيدس,C,2005,رمادي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1800 ,230 الف كيلو متر  ,null,نقدا فقط ,للبيع فقط ,ثالثة  ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية|اوتوماتيك|ماتور 1800 كمبرسور 4 سلندر|اصل خصوصي ، فتحة اصلية ، فرش جلد ، كراسي كهربا ، مسجل تتش ، شاشات على الكراسي ، جنطات مميزة .|ايد ثالثة ، ماشية 230 الف كيلو|فحص بودي وجير تمام|سيارة منفوضة بالكامل|تامين شامل مع VIP وترخيص لشهر 4|البيع كاش فقط
50000,فولكسفاجن,بولو,2006,أسود ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,75000 ,4+١ ,نقدا فقط ,للبيع فقط ,يد اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|تامين رخصه سنه
65000,سكودا,اوكتافيا,2011,أبيض ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,1600 ,ما انتبهت ,4+1 ,نقدا فقط ,للبيع فقط ,3 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|بالصلاة على النبي مش ناقصها شي دهان ممتاز|ميكانيكيات 100%|كأنها برايفت|كشافات +حساسات خلفيه+فرش جلد|مسجل اصلي|غرفه حلوة|اقتصاديه جدا|تحكم ستيرنج|مري كهربا|فش فيها ولا ضربه|الله يبارك لصاحب النصيب
115000,سكودا,اوكتافيا,2016,عدة الوان ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,0 ,4+1 ,نقدا فقط ,للبيع أو التبديل ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|وسادة حماية هوائية|السيارة جديدة|ترخيص ٢٠١٦|عداد 0 km
21000,دراجة,نارية,2016,أسود ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,250 ,null,null,نقدا فقط ,للبيع أو التبديل ,يد ولا ,جنطات مغنيسيوم|ترخيص وتأمين اجديد بركات اجديد
141000,فولكسفاجن,باسات,2015,أبيض ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,100000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,اولى ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية
18000,سكودا,فيليسيا,1996,أبيض ,بنزين ,خصوصي ,فلسطينية ,عادي ,يدوي ,1300 ,000000 ,4+1 ,إمكانية التقسيط ,للبيع فقط ,يد ثالثه ,مُكيّف|إغلاق مركزي|مسجل CD|جنطات مغنيسيوم
11000,اوبل,اسكونا,1985,بيج ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,يدوي ,1300 ,12345 ,4+1 ,نقدا فقط ,للبيع فقط ,3 ,مسجل CD|فرش جلد|السيارة عليها ماطور وجير اتومات وميكانيكيات وكهربة الف ..شصي خالي من القص..ترخيص وتامين لشهر6/2018 وغرفتها أمرتبة فرش جلد تنازل مباشر|الدفع كااااش
45000,هونداي,توكسون,2007,أحمر ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,2000 ,null,4+1 ,إمكانية التقسيط ,للبيع أو التبديل ,3 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
330000,لاندروفر,ديسكفري,2016,بترولي ,ديزل ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,3000 ,null,null,إمكانية التقسيط ,للبيع أو التبديل ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فتحة سقف|جنطات مغنيسيوم|فرش جلد|وسادة حماية هوائية
43000,فورد,ترانزيت,1998,أبيض عاجي ,ديزل ,عمومي ,فلسطينية ,عادي ,الكتروني ,2500 ,000000 ,7+1 ,نقدا فقط ,للبيع فقط ,4 ,مُكيّف|مسجل CD
60000,كيا,برايد,2014,فضي ,بنزين ,خصوصي ,فلسطينية ,اوتوماتيك ,الكتروني ,1400 ,52 ,4+1 ,نقدا فقط ,للبيع فقط ,null,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية
40000,هونداي,i10,2014,أبيض عاجي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1200 ,50000 كيلو ,4+1 ,إمكانية التقسيط ,للبيع فقط ,0 ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|جنطات مغنيسيوم|وسادة حماية هوائية|اصل شركة
26500,مازدا,323,1993,زيتي ,بنزين ,خصوصي ,فلسطينية ,عادي ,الكتروني ,1600 ,٠٠٠٠٠ ,٤+١ ,نقدا فقط ,للبيع فقط ,يد عاشره ,مُكيّف|إغلاق مركزي|جهاز إنذار|مسجل CD|فرش جلد|وسادة حماية هوائية|السياره لعبه والسعر قابل للتفاوض وعلفحص
